date,USD,EUR,CNY
2026-02-18 21:47,76.1524,90.2683,11.0137
2026-02-18 21:51,76.1524,90.2683,11.0137
2026-02-19 09:06,76.1524,90.2683,11.0137,53.8397,0,4.47177,7.9827699999999995,12.055,0.23860299999999998,0,0
